id	title	price_pc	price_mobile	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	naver_product_id	condition	import_flag	parallel_import	order_made	product_flag	rental_info	adult	goods_type	barcode	manufacture_define_number	model_number	brand	maker	origin	card_event	event_words	benefit_price	partner_coupon_download	interest_free_event	point	installation_costs	pre_match_code	search_tag	group_id	vendor_id	coordi_id	minimum_purchase_quantity	review_count	shipping	delivery_grade	delivery_detail	attribute	option_detail	seller_id	age_group	gender	benefit_start_date	benefit_end_date	brand_certification
1130	하리보 메가룰렛 사우어 45g	1080	1080		https://skmrkt.com/product/detail.html?product_no=1130&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1130&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/5e9c2902ead0c61da80f49f7a1b4d777_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				1080			1100							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1131	하리보 골드베렌 100g (Pocket size)	1880	1880		https://skmrkt.com/product/detail.html?product_no=1131&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1131&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/77d1894058fdfb069141a55d286ac3d4_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				1880			1900							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1132	하리보 해피콜라 100g	1880	1880		https://skmrkt.com/product/detail.html?product_no=1132&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1132&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/a2bd9c9154103ed08a270b8a40ecbc3d_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				1880			1900							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1133	하리보 스타믹스 100g (Pocket size)	1880	1880		https://skmrkt.com/product/detail.html?product_no=1133&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1133&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/7cf9ac84b8479eed814a8aac609fdbb0_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				1880			1900							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1134	하리보 그레이프프루트 100g (Pocket size)	1880	1880		https://skmrkt.com/product/detail.html?product_no=1134&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1134&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/b76e7edb9735385091608ecbab014a6d_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				1880			1900							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1137	하리보 웜즈 100g	1880	1880		https://skmrkt.com/product/detail.html?product_no=1137&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1137&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/c88078fa3f9c10ee9f6526900d9aa5a0_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				1880			1900							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1138	하리보 웜즈 사우어 80g	1880	1880		https://skmrkt.com/product/detail.html?product_no=1138&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1138&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/e7440f7056e2cb424bf3aef132a343ef_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				1880			1900							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1141	하리보 해피콜라 미니 250g	5980	5980		https://skmrkt.com/product/detail.html?product_no=1141&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1141&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/ea9e8189c4d11a8e1b4c785300b7d2a0_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				5980			6000							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1142	하리보 스타믹스 미니 250g	5980	5980		https://skmrkt.com/product/detail.html?product_no=1142&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1142&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/3cbca4aa32b01ee9e726ba57e2c6c8d9_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				5980			6000							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1218	워커스 쇼트브레드 하이랜더스 200g	5500	5500		https://skmrkt.com/product/detail.html?product_no=1218&cate_no=106&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1218&cate_no=106&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202507/426e294f12a1875f07d5cb0f6ce5ffdf_dburl.jpg		전체상품	스낵	과자				신상품											자체브랜드	자체제작				5500			5500							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
